( 1 , 23, K )
( 6 , 13, K )
( 13 , 10, K )
( 24 , 13, K )
( 0 , 21, K )
( 17 , 5, K )
( 23 , 3, K )
( 14 , 3, K )
( 5 , 18, K )
( 23 , 16, K )
( 5 , 20, K )
( 21 , 3, K )
( 10 , 12, K )
( 11 , 18, K )
( 7 , 20, K )
( 19 , 23, K )
( 22 , 1, K )
( 19 , 16, K )
( 20 , 18, K )
( 10 , 17, K )
( 21 , 16, K )
( 1 , 5, K )
( 6 , 0, K )
( 4 , 7, K )
( 16 , 8, K )
( 9 , 5, K )
( 15 , 0, K )
( 3 , 21, K )
( 22 , 23, K )
( 22 , 22, K )
( 2 , 4, K )
( 1 , 20, K )
( 0 , 2, K )
( 2 , 0, K )
( 24 , 9, K )
( 17 , 16, K )
( 9 , 8, K )
( 11 , 21, K )
( 21 , 2, K )
( 14 , 8, K )
( 8 , 22, K )
( 16 , 6, K )
( 24 , 17, K )
( 6 , 9, K )
( 16 , 5, K )
( 23 , 13, K )
( 16 , 15, K )
( 14 , 2, K )
( 16 , 20, K )
( 7 , 24, K )
( 21 , 19, K )
( 2 , 17, K )
( 18 , 5, K )
( 6 , 18, K )
( 8 , 7, K )
( 15 , 6, K )
( 23 , 24, K )
( 1 , 16, K )
( 0 , 4, K )
( 23 , 17, K )
( 21 , 12, K )
( 18 , 0, K )
( 2 , 14, K )
( 17 , 18, K )
( 22 , 14, K )
( 17 , 13, K )
( 12 , 7, K )
( 10 , 5, K )
( 8 , 13, K )
( 21 , 18, K )
( 18 , 12, K )
( 22 , 3, K )
( 6 , 24, K )
( 19 , 21, K )
( 12 , 9, K )
( 0 , 1, K )
( 24 , 7, K )
( 18 , 2, K )
( 12 , 11, K )
( 11 , 2, K )
( 1 , 15, K )
( 14 , 22, K )
( 2 , 8, K )
( 5 , 23, K )
( 22 , 2, K )
( 15 , 23, K )
( 13 , 17, K )
( 11 , 10, K )
( 2 , 2, K )
( 8 , 12, K )
( 0 , 14, K )
( 1 , 21, K )
( 10 , 20, K )
( 11 , 13, K )
( 17 , 7, K )
( 3 , 12, K )
( 9 , 2, K )
( 20 , 3, K )
( 5 , 6, K )
( 18 , 23, K )
( 3 , 8, K )
( 18 , 18, K )
( 18 , 13, K )
( 16 , 4, K )
( 4 , 16, K )
( 21 , 17, K )
( 11 , 12, K )
( 5 , 16, K )
( 3 , 19, K )
( 2 , 13, K )
( 7 , 21, K )
( 14 , 12, K )
( 1 , 14, K )
( 3 , 17, K )
( 2 , 23, K )
( 16 , 2, K )
( 3 , 24, K )
( 24 , 16, K )
( 7 , 23, K )
( 11 , 9, K )
( 20 , 5, K )
( 16 , 0, K )
( 23 , 22, K )
( 24 , 23, K )
( 6 , 10, K )
( 15 , 16, K )
( 20 , 16, K )
( 3 , 15, K )
( 6 , 22, K )
( 17 , 24, K )
( 17 , 10, K )
( 9 , 3, K )
( 12 , 18, K )
( 12 , 23, K )
( 19 , 14, K )
( 10 , 4, K )
( 11 , 20, K )
( 1 , 13, K )
( 20 , 19, K )
( 20 , 2, K )
( 2 , 9, K )
( 22 , 20, K )
( 6 , 15, K )
( 1 , 2, K )
( 11 , 1, K )
( 6 , 11, K )
( 21 , 4, K )
( 8 , 8, K )
( 2 , 1, K )
( 7 , 14, K )
( 19 , 18, K )
( 12 , 19, K )
( 21 , 6, K )
( 17 , 22, K )
( 2 , 6, K )
( 16 , 7, K )
( 17 , 6, K )
( 1 , 19, K )
( 21 , 21, K )
( 3 , 2, K )
( 9 , 6, K )
( 11 , 14, K )
( 2 , 7, K )
( 5 , 24, K )
( 19 , 2, K )
( 14 , 19, K )
( 3 , 5, K )
( 20 , 11, K )
( 13 , 7, K )
( 19 , 11, K )
( 23 , 1, K )
( 3 , 7, K )
( 1 , 8, K )
( 11 , 16, K )
( 18 , 21, K )
( 2 , 18, K )
( 10 , 0, K )
( 10 , 6, K )
( 18 , 15, K )
( 8 , 20, K )
( 7 , 15, K )
( 7 , 19, K )
( 3 , 6, K )
( 17 , 19, K )
( 8 , 1, K )
( 7 , 9, K )
( 2 , 12, K )
